Timestamp,Heart Rate(bpm),HRV(ms)
Apr 18 2024  6:23:27,70,84.13099721
Apr 18 2024  6:23:30,71,84.13099721
Apr 18 2024  6:23:33,84,NaN
Apr 18 2024  6:23:36,72,85.00349208
Apr 18 2024  6:23:39,73,NaN
Apr 18 2024  6:23:42,57,80.72137931
Apr 18 2024  6:23:45,76,71.65556001
Apr 18 2024  6:23:48,75,NaN
Apr 18 2024  6:23:51,58,75.60122078
Apr 18 2024  6:23:54,76,79.14526241
Apr 18 2024  6:23:57,68,NaN
Apr 18 2024  6:24:0,74,74.48296723
Apr 18 2024  6:24:3,70,74.8104832
Apr 18 2024  6:24:6,70,NaN
Apr 18 2024  6:24:9,79,75.77581968
Apr 18 2024  6:24:12,70,74.72210693
Apr 18 2024  6:24:15,71,NaN
Apr 18 2024  6:24:18,58,75.77581968
Apr 18 2024  6:24:21,69,76.14985171
Apr 18 2024  6:24:24,73,75.76419227
Apr 18 2024  6:24:27,74,NaN
Apr 18 2024  6:24:30,70,78.15109404
Apr 18 2024  6:24:33,74,77.80650334
Apr 18 2024  6:24:36,73,NaN
Apr 18 2024  6:24:39,58,81.24086052
Apr 18 2024  6:24:42,63,78.66514987
Apr 18 2024  6:24:45,73,NaN
Apr 18 2024  6:24:48,74,NaN
Apr 18 2024  6:24:51,75,80.56570193
Apr 18 2024  6:24:54,74,82.0769991
Apr 18 2024  6:24:57,69,80.76775132
Apr 18 2024  6:25:0,71,80.37684694
Apr 18 2024  6:25:3,77,NaN
Apr 18 2024  6:25:6,75,NaN
Apr 18 2024  6:25:9,73,75.935516
Apr 18 2024  6:25:12,101,87.95782381
Apr 18 2024  6:25:15,75,99.14118552
Apr 18 2024  6:25:18,56,NaN
Apr 18 2024  6:25:21,73,99.85397881
Apr 18 2024  6:25:24,76,NaN
Apr 18 2024  6:25:27,74,NaN
Apr 18 2024  6:25:30,72,101.7527169
Apr 18 2024  6:25:33,69,NaN
Apr 18 2024  6:25:36,58,101.0533176
Apr 18 2024  6:25:39,77,105.154845
Apr 18 2024  6:25:42,56,108.8597692
Apr 18 2024  6:25:45,69,108.8597692
Apr 18 2024  6:25:48,76,NaN
Apr 18 2024  6:25:51,67,108.1676354
Apr 18 2024  6:25:54,66,108.1676354
Apr 18 2024  6:25:57,72,NaN
Apr 18 2024  6:26:0,77,107.5468457
Apr 18 2024  6:26:3,58,108.938648
Apr 18 2024  6:26:6,75,NaN
Apr 18 2024  6:26:9,77,110.7114941
Apr 18 2024  6:26:12,72,NaN
Apr 18 2024  6:26:15,101,119.9691637
Apr 18 2024  6:26:18,70,NaN
Apr 18 2024  6:26:21,76,126.9447614
Apr 18 2024  6:26:24,67,NaN
Apr 18 2024  6:26:27,73,124.6688282
Apr 18 2024  6:26:30,74,126.6146777
Apr 18 2024  6:26:33,69,NaN
Apr 18 2024  6:26:36,76,NaN
Apr 18 2024  6:26:39,56,NaN
Apr 18 2024  6:26:42,71,112.4642291
Apr 18 2024  6:26:45,56,111.0055385
Apr 18 2024  6:26:48,73,NaN
Apr 18 2024  6:26:51,74,111.9814214
Apr 18 2024  6:26:54,73,NaN
Apr 18 2024  6:27:0,57,111.1403791
Apr 18 2024  6:27:3,61,110.7114941
Apr 18 2024  6:27:24,74,110.8268206
Apr 18 2024  6:27:27,77,110.6040129
Apr 18 2024  6:27:30,73,108.31211
Apr 18 2024  6:27:33,73,110.7174622
Apr 18 2024  6:27:36,70,111.7234651
Apr 18 2024  6:27:39,65,112.23486
Apr 18 2024  6:27:42,75,110.2569722
Apr 18 2024  6:27:45,59,NaN
Apr 18 2024  6:27:48,74,111.0333132
Apr 18 2024  6:27:51,82,108.7848827
Apr 18 2024  6:27:54,73,107.2022354
Apr 18 2024  6:27:57,71,107.2022354
Apr 18 2024  6:28:0,65,NaN
Apr 18 2024  6:28:3,72,NaN
Apr 18 2024  6:28:6,71,NaN
Apr 18 2024  6:28:9,69,78.66514987
Apr 18 2024  6:28:12,56,NaN
Apr 18 2024  6:28:15,70,NaN
Apr 18 2024  6:28:18,76,NaN
Apr 18 2024  6:28:21,73,79.89862175
Apr 18 2024  6:28:24,81,79.8462283
Apr 18 2024  6:28:27,76,NaN
Apr 18 2024  6:28:30,72,72.18536238
Apr 18 2024  6:28:33,82,69.79640502
Apr 18 2024  6:28:36,73,65.22907323
Apr 18 2024  6:28:39,67,NaN
Apr 18 2024  6:28:42,56,62.34589659
Apr 18 2024  6:28:45,56,60.80059967
Apr 18 2024  6:29:3,71,63.6430511
Apr 18 2024  6:29:6,73,63.06944369
Apr 18 2024  6:29:9,94,71.4400726
Apr 18 2024  6:29:12,58,NaN
Apr 18 2024  6:29:15,65,NaN
Apr 18 2024  6:29:18,74,96.66653934
Apr 18 2024  6:29:21,82,96.16625897
Apr 18 2024  6:29:24,73,96.1364801
Apr 18 2024  6:29:27,67,94.70538569
Apr 18 2024  6:29:30,76,93.31372067
Apr 18 2024  6:29:33,73,NaN
Apr 18 2024  6:29:36,69,94.88197096
Apr 18 2024  6:29:39,69,NaN
Apr 18 2024  6:29:42,74,96.00350802
Apr 18 2024  6:29:45,57,NaN
Apr 18 2024  6:29:48,66,96.65286752
Apr 18 2024  6:29:51,57,95.12539816
Apr 18 2024  6:29:54,73,96.23723292
Apr 18 2024  6:29:57,69,NaN
Apr 18 2024  6:30:0,56,96.45897536
Apr 18 2024  6:30:3,71,NaN
